id,name,pokemon
10,Alfornada Cavern,"050_00, 051_00, 181_00, 197_00, 206_00, 246_00, 247_00, 297_00, 302_00, 307_00, 308_00, 334_00, 354_00, 371_00, 372_00, 426_00, 429_00, 443_00, 444_00_F, 475_00, 633_00, 735_00, 745_00, 745_02, 749_00, 750_00, 757_00, 758_00, 849_02, 849_00, 1025_00, 1068_00, 1070_00"
29,Area Zero,"026_00, 049_00, 051_00, 055_00, 097_00, 113_00, 134_00, 189_00, 196_00, 197_00, 198_00_F, 203_00, 206_00, 215_00, 231_00, 232_00, 284_00, 302_00, 307_00, 308_00, 322_00_F, 323_00, 333_00, 334_00, 418_00_F, 419_00, 430_00, 443_00, 444_00_F, 461_00_F, 624_00, 625_00, 628_00, 633_00, 634_00, 637_00, 663_00, 670_04, 673_00, 701_00, 745_02, 745_00, 757_00, 758_00, 823_00, 873_00, 878_00, 879_00, 885_00, 886_00, 1025_00, 1058_00, 1059_00, 1075_00, 1067_00, 1068_00, 1069_00, 1044_00, 1045_00, 1031_00, 1046_00, 1070_00, 1071_00, 1028_00, 1029_00, 1065_00, 1032_00, 1021_00, 1082_00, 1086_00, 1083_00, 1087_00, 1088_00, 1085_00, 1090_00, 1096_00, 1093_00, 1094_00, 1092_00, 1095_00, 1089_00, 1097_00"
15,Asado Desert,"050_00, 051_00, 206_00, 231_00, 232_00, 246_00, 296_00, 322_00_F, 331_00, 332_00, 449_00_F, 450_00, 551_00, 627_00, 628_00, 636_00, 672_00, 734_00, 735_00, 843_00, 844_00, 874_00, 1025_00, 1067_00, 1107_00, 1078_00, 1042_00, 1026_00, 1030_00, 1031_00, 1104_00, 1048_00"
1,Cabo Poco,"1010_00, 1013_00, 1016_00"
27,Casseroya Lake,"049_00, 054_00, 055_00, 079_00, 080_00, 113_00, 123_00, 130_00, 134_00, 147_00, 148_00, 149_00, 184_00, 205_00, 317_00_F, 333_00, 334_00, 357_00, 398_00, 423_00, 429_00, 430_00, 435_00, 437_00, 442_00, 454_00, 673_00, 701_00, 705_00, 712_00, 713_00, 763_00, 834_00, 879_00, 886_00, 1025_00, 1068_00, 1062_00, 1029_00, 1065_00, 1036_00, 1035_00, 1056_02, 1056_01, 1056_00"
25,Dalizapa Passage,"051_00, 082_00, 093_00, 097_00, 129_00, 136_00, 197_00, 200_00, 206_00, 215_00, 217_00, 231_00, 232_00, 246_00, 281_00, 288_00, 297_00, 302_00, 308_00, 324_00, 326_00, 361_00, 371_00, 425_00, 426_00, 430_00, 437_00, 442_00, 444_00_F, 461_00_F, 475_00, 478_00, 585_03, 586_03, 610_00, 611_00, 613_00, 614_00, 627_00, 633_00, 668_00_F, 668_00, 673_00, 735_00, 745_02, 745_00, 749_00, 750_00, 757_00, 758_00, 820_00, 872_00, 879_00, 1025_00, 1068_00, 1043_00, 1030_00, 1031_00, 1105_00, 1047_00, 1057_00, 1028_00, 1029_00, 1051_00, 1053_00"
19,East Paldean Sea,"090_00, 091_00, 129_00, 130_00, 192_00, 211_00, 370_00, 415_00_F, 416_00, 418_00_F, 666_19, 669_01, 669_00, 669_04, 669_02, 669_03, 670_01, 670_03, 670_00, 670_04, 670_02, 690_00, 692_00, 747_00, 748_00, 779_00, 846_00, 847_00, 1040_00, 1061_00, 1062_00, 1037_00"
16,East Province (Area One),"025_00, 048_00, 128_02, 128_03, 128_01, 188_00, 198_00, 204_00, 206_00, 216_00, 296_00, 298_00, 316_00, 333_00, 353_00, 422_01, 585_01, 662_00, 667_00, 672_00, 734_00, 735_00, 741_00, 761_00, 762_00, 775_00, 821_00, 822_00, 840_00, 1019_00, 1020_00, 1020_00_F, 1023_00, 1059_00, 1049_00, 1064_02, 1064_03, 1064_01, 1064_00, 1067_00, 1107_00, 1044_00, 1061_00, 1072_00, 1110_00, 1057_00, 1036_00"
18,East Province (Area Three),"050_00, 051_00, 052_00, 054_00, 058_00, 081_00, 092_00, 100_00, 129_00, 198_00, 206_00, 246_00, 296_00, 297_00, 302_00, 324_00, 339_00, 353_00, 371_00, 418_00, 550_01, 550_00, 574_00, 624_00, 627_00, 672_00, 704_00, 734_00, 735_00, 757_00, 821_00, 822_00, 833_00, 834_00, 837_00, 838_00, 843_00, 846_00, 847_00, 854_00, 878_00, 885_00, 1025_00, 1049_00, 1064_02, 1064_03, 1064_01, 1064_00, 1067_00, 1107_00, 1044_00, 1045_00, 1078_00, 1046_00, 1048_00, 1070_00, 1065_00"
17,East Province (Area Two),"054_00, 079_00, 081_00, 088_00, 092_00, 113_00, 128_02, 128_03, 128_01, 129_00, 183_00, 188_00, 198_00, 200_00, 204_00, 206_00, 281_00, 296_00, 353_00, 417_00, 418_00_F, 425_00, 436_00, 479_00, 550_01, 550_00, 585_01, 667_00, 672_00, 734_00, 735_00, 739_00, 740_00, 744_00, 749_00, 757_00, 761_00, 762_00, 769_00, 775_00, 778_00, 821_00, 822_00, 833_00, 834_00, 840_00, 846_00, 847_00, 871_00, 885_00, 1019_00, 1020_00, 1020_00_F, 1023_00, 1059_00, 1049_00, 1064_02, 1064_03, 1064_01, 1064_00, 1067_00, 1107_00, 1044_00, 1061_00, 1072_00, 1110_00, 1030_00, 1104_00, 1105_00, 1033_00, 1057_00, 1065_00"
26,Glaseado Mountain,"054_00, 055_00, 082_00, 093_00, 134_00, 200_00, 215_00, 225_00, 282_00, 297_00, 340_00, 354_00, 361_00, 362_00, 371_00, 419_00, 425_00, 426_00, 429_00, 437_00, 442_00, 444_00_F, 459_00, 460_00, 461_00_F, 471_00, 475_00, 478_00, 550_01, 550_00, 585_03, 586_03, 613_00, 614_00, 615_00, 627_00, 633_00, 634_00, 704_00, 707_00, 712_00, 713_00, 735_00, 739_00, 740_00, 745_02, 745_00, 750_00, 757_00, 834_00, 847_00, 857_00, 871_00, 872_00, 873_00, 879_00, 885_00, 886_00, 1025_00, 1068_00, 1044_00, 1045_00, 1070_00, 1028_00, 1029_00, 1065_00, 1051_00, 1052_00, 1036_00, 1053_00, 1054_00"
9,Inlet Grotto,"050_00, 054_00, 228_00, 624_00, 734_00, 735_00"
23,North Paldean Sea,"090_00, 091_00, 129_00, 130_00, 211_00, 279_00, 419_00, 457_00, 594_00, 602_00, 603_00, 690_00, 691_00, 692_00, 693_00, 712_00, 713_00, 847_00, 875_00, 1062_00, 1037_00, 1036_00"
