id,nationalDex,name,stage,generalForm,uniqueForm,paldeaDex,formOrder,generation,type1,type2,genderDifference,homeAvailable,shinyAvailable,hasBaby,icon,homePic,homeShinyPic
001_00,001,Bulbasaur,0,,,,0X,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,001_00.png,001_00.png,001_00_S.png
002_00,002,Ivysaur,1,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,002_00.png,002_00.png,002_00_S.png
003_00,003,Venusaur,2,,,,00,1,Grass,Poison,FALSE,TRUE,TRUE,FALSE,003_00.png,003_00.png,003_00_S.png
003_01,003,Venusaur,2,Gigantamax,,,01,1,Grass,Poison,FALSE,FALSE,TRUE,FALSE,003_01.png,003_01.png,003_01_S.png
003_00_F,003,Venusaur,2,,,,00,1,Grass,Poison,TRUE,TRUE,TRUE,FALSE,003_00.png,003_00_F.png,003_00_F_S.png
003_02,003,Venusaur,2,Mega,,,02,1,Grass,Poison,FALSE,FALSE,TRUE,FALSE,003_02.png,003_02.png,003_02_S.png
004_00,004,Charmander,0,,,503,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,004_00.png,004_00.png,004_00_S.png
005_00,005,Charmeleon,1,,,504,00,1,Fire,,FALSE,TRUE,TRUE,FALSE,005_00.png,005_00.png,005_00_S.png
006_00,006,Charizard,2,,,505,00,1,Fire,Flying,FALSE,TRUE,TRUE,FALSE,006_00.png,006_00.png,006_00_S.png
006_01,006,Charizard,2,Gigantamax,,,01,1,Fire,Flying,FALSE,FALSE,TRUE,FALSE,006_01.png,006_01.png,006_01_S.png
006_03,006,Charizard,2,Mega,Y,,03,1,Fire,Flying,FALSE,FALSE,TRUE,FALSE,006_03.png,006_03.png,006_03_S.png
006_02,006,Charizard,2,Mega,X,,02,1,Fire,Dragon,FALSE,FALSE,TRUE,FALSE,006_02.png,006_02.png,006_02_S.png
007_00,007,Squirtle,0,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,007_00.png,007_00.png,007_00_S.png
008_00,008,Wartortle,1,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,008_00.png,008_00.png,008_00_S.png
009_00,009,Blastoise,2,,,,00,1,Water,,FALSE,TRUE,TRUE,FALSE,009_00.png,009_00.png,009_00_S.png
009_02,009,Blastoise,2,Mega,,,02,1,Water,,FALSE,FALSE,TRUE,FALSE,009_02.png,009_02.png,009_02_S.png
009_01,009,Blastoise,2,Gigantamax,,,01,1,Water,,FALSE,FALSE,TRUE,FALSE,009_01.png,009_01.png,009_01_S.png
010_00,010,Caterpie,0,,,,00,1,Bug,,FALSE,TRUE,TRUE,FALSE,010_00.png,010_00.png,010_00_S.png
011_00,011,Metapod,1,,,,00,1,Bug,,FALSE,TRUE,TRUE,FALSE,011_00.png,011_00.png,011_00_S.png
012_00,012,Butterfree,2,,,,00,1,Bug,Flying,FALSE,TRUE,TRUE,FALSE,012_00.png,012_00.png,012_00_S.png
012_01,012,Butterfree,2,Gigantamax,,,01,1,Bug,Flying,FALSE,FALSE,TRUE,FALSE,012_01.png,012_01.png,012_01_S.png
012_00_F,012,Butterfree,2,,,,00,1,Bug,Flying,TRUE,TRUE,TRUE,FALSE,012_00.png,012_00_F.png,012_00_F_S.png
013_00,013,Weedle,0,,,,00,1,Bug,Poison,FALSE,TRUE,TRUE,FALSE,013_00.png,013_00.png,013_00_S.png
014_00,014,Kakuna,1,,,,00,1,Bug,Poison,FALSE,TRUE,TRUE,FALSE,014_00.png,014_00.png,014_00_S.png
015_00,015,Beedrill,2,,,,00,1,Bug,Poison,FALSE,TRUE,TRUE,FALSE,015_00.png,015_00.png,015_00_S.png
015_01,015,Beedrill,2,Mega,,,01,1,Bug,Poison,FALSE,FALSE,TRUE,FALSE,015_01.png,015_01.png,015_01_S.png
016_00,016,Pidgey,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,016_00.png,016_00.png,016_00_S.png
017_00,017,Pidgeotto,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,017_00.png,017_00.png,017_00_S.png
018_00,018,Pidgeot,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,018_00.png,018_00.png,018_00_S.png
018_01,018,Pidgeot,,Mega,,,01,1,Normal,Flying,FALSE,FALSE,TRUE,FALSE,018_01.png,018_01.png,018_01_S.png
019_00,019,Rattata,,,,,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,019_00.png,019_00.png,019_00_S.png
019_00_F,019,Rattata,,,,,00,1,Normal,,TRUE,TRUE,TRUE,FALSE,019_00.png,019_00_F.png,019_00_F_S.png
019_01,019,Rattata,,Alolan,,,01,1,Dark,Normal,FALSE,TRUE,TRUE,FALSE,019_01.png,019_01.png,019_01_S.png
020_00,020,Raticate,,,,,00,1,Normal,,FALSE,TRUE,TRUE,FALSE,020_00.png,020_00.png,020_00_S.png
020_01,020,Raticate,,Alolan,,,01,1,Dark,Normal,FALSE,TRUE,TRUE,FALSE,020_01.png,020_01.png,020_01_S.png
020_00_F,020,Raticate,,,,,00,1,Normal,,TRUE,TRUE,TRUE,FALSE,020_00.png,020_00_F.png,020_00_F_S.png
021_00,021,Spearow,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,021_00.png,021_00.png,021_00_S.png
022_00,022,Fearow,,,,,00,1,Normal,Flying,FALSE,TRUE,TRUE,FALSE,022_00.png,022_00.png,022_00_S.png
023_00,023,Ekans,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,023_00.png,023_00.png,023_00_S.png
024_00,024,Arbok,,,,,00,1,Poison,,FALSE,TRUE,TRUE,FALSE,024_00.png,024_00.png,024_00_S.png
025_00,025,Pikachu,0,,,074,00,1,Electric,,FALSE,TRUE,TRUE,TRUE,025_00.png,025_00.png,025_00_S.png
025_01,025,Pikachu,,Gigantamax,,,01,1,Electric,,FALSE,FALSE,TRUE,FALSE,025_01.png,025_01.png,025_01_S.png
025_00_F,025,Pikachu,0,,,074,00,1,Electric,,TRUE,TRUE,TRUE,TRUE,025_00.png,025_00_F.png,025_00_F_S.png
025_02,025,Pikachu,,,Original Cap,,02,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_02.png,025_02.png,025_02_S.png
025_03,025,Pikachu,,,Hoenn Cap,,03,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_03.png,025_03.png,025_03_S.png
025_04,025,Pikachu,,,Sinnoh Cap,,04,1,Electric,,FALSE,TRUE,FALSE,FALSE,025_04.png,025_04.png,025_04_S.png
025_08,025,Pikachu,,,Partner Cap,,08,1,Electric,,FALSE,TRUE,TRUE,FALSE,025_08.png,025_08.png,025_08_S.png
